TSNE1,TSNE2
3.840117,2.9544702
3.444986,-0.11923215
0.7758249,-0.10293585
11.84647,2.768391
-2.946926,-1.092165
-8.032048,-3.942452
13.533377,-1.7582662
4.5738897,-0.8521605
14.093876,-1.5378605
9.776609,-0.22944373
4.554273,0.19950871
-3.8262668,-2.5784042
0.3642683,5.591215
-9.445937,1.014785
-8.215226,-4.0718904
11.683016,0.34342125
11.224691,-1.8092207
-6.5305405,0.9146347
-7.2365932,-5.3736215
-14.022096,-7.97214
10.956253,3.118276
10.017164,1.2691394
3.1270502,2.6631827
-6.514669,0.8459352
-13.907311,-6.1881533
3.8839662,-3.3069985
-0.95301735,-4.4773746
-10.996858,-2.3641734
-5.9348006,-5.3780828
-8.634587,0.25537676
14.327075,1.6421022
-2.919081,-1.1355265
-3.19744,-4.384671
-0.6289866,-4.314513
14.323831,-2.1477423
6.9086204,-1.0684985
-12.80546,-1.0182762
-3.8388689,-3.8438184
-4.3723545,1.443032
7.395109,0.15529762
-2.7684305,0.0107076205
1.160536,-0.718976
11.049236,-0.16973983
-3.8424861,-3.8175778
13.324111,-0.20283566
-0.39347455,4.629198
-12.391383,-1.4741483
-4.392911,-2.053156
15.634664,-1.3811165
0.9883045,2.8076994
-8.212311,0.009700429
-13.1365,-5.235683
5.183505,5.49526
12.4504795,0.3149805
-8.900698,-1.9787507
-9.680869,-4.031544
13.0402775,0.4984643
9.230143,1.1283152
-7.643894,-3.936365
-1.1971152,-1.7486717
5.3807387,-0.034874555
10.274493,0.4459694
-6.6668224,-2.6301308
1.2319716,0.12518647
-8.240222,-4.940665
-4.0799994,1.6174254
-11.096434,-6.668327
-8.975681,0.64166874
-13.364538,-7.2811017
-2.3500543,0.7445703
-4.1477265,1.2625594
7.046945,0.15513201
15.916431,-0.38487166
-1.404159,-5.5372734
-14.154331,-4.67584
4.251286,-2.9663718
-0.6665627,5.399886
15.079703,0.29223117
1.7501327,2.4834065
4.0414867,0.5390852
-3.8362737,-2.9793289
-4.1697316,-0.38905504
2.2257257,2.360674
13.214668,2.4198418
-5.6809397,-1.5846668
-10.991972,-0.96360266
-0.61231214,5.7649636
7.349469,-1.8887085
11.922613,0.59692115
-0.018078078,0.0904872
5.5241413,0.79372734
-11.530574,-4.699789
12.739259,1.1445436
12.236715,1.1152657
12.487751,-0.14335531
4.6391206,-0.43823683
2.7200325,-3.357218
-0.83867174,-1.4533259
-13.984749,-6.5043716
-11.705677,-1.0569624
-1.3746793,-4.51876
0.13811748,-0.24356589
-11.0352745,-3.445218
3.1439998,3.84228
-7.5300617,-3.2204592
15.02003,-1.8972329
-11.073266,-3.8778808
5.178559,1.5752095
13.898061,2.2100382
3.4450831,-0.69951606
-0.5233958,0.4701882
-0.22618264,-1.139339
-11.172194,-6.476166
3.6758726,3.191026
-11.963041,-5.8427315
12.179662,-0.4062412
15.498998,-0.9496657
-4.858257,-1.116741
-0.69913435,-4.4457817
-4.109755,-4.345003
8.5059805,-1.3246378
13.925895,0.10515275
-0.15244624,4.881824
0.27894965,4.2384877
-10.772799,-4.9959984
-8.192441,-3.162612
-10.497697,-4.7423267
6.614283,1.8752465
16.157412,-2.3761034
-10.883915,-5.8610725
9.776964,-0.19874813
5.559286,1.755382
-0.045732796,5.835307
5.899922,-0.4465362
11.550834,1.6030029
-5.9864836,-2.3816757
-10.627626,-1.9376123
-8.149034,-5.4616575
-12.038211,-1.2508788
-9.935426,-4.1311674
5.796523,1.5672112
-0.25924522,5.9222283
-0.9648732,-0.57576025
6.1325035,-0.35750684
-6.755385,-3.454885
-11.580717,-6.4006586
-10.008066,-7.145511
9.205318,0.103895
10.918047,1.1608675
-10.662675,-4.124582
-5.4602313,-3.124315
4.2142973,3.5519774
8.511784,-1.3607051
5.840498,0.2981346
-13.352704,-7.1608615
1.0981998,6.295546
-7.845563,-2.237032
3.6322472,0.8146475
13.164634,-0.3759925
11.704701,0.6016418
2.136472,3.1554484
2.3490813,1.4928324
-1.2662835,-0.7331678
-7.9269385,-6.7913494
-12.436328,-0.72945577
-8.59034,-2.911501
-7.9686294,-2.293155
0.67782176,-1.0276849
3.437355,-3.4841244
1.7324071,0.86233044
-10.095188,-4.8347425
-7.01095,-1.7239902
8.193674,-0.55285925
0.091171846,5.47471
11.643381,-0.47595972
14.275176,-1.8819373
12.829423,-1.5686291
2.2248094,3.1078143
-8.7886715,-3.4718416
4.1831446,0.59166217
-5.8769727,0.909283
-13.428317,-4.366656
4.724345,4.9317536
4.01799,4.6764445
4.217759,4.478571
